,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
0,0.3834012210674889,0.3733064302925525,0.1331910259733767,0.12332112255361027,0.29142013571476755,0.4686582946966238,0.5064875280789735,0.1938907932749056
1,0.3767163689366425,0.37238412010504224,0.14091717273460885,0.12271621930807985,0.2871226958595041,0.4576685968483286,0.5136376828433994,0.1878475622046744
2,0.3698266473870869,0.3715662597006239,0.14911181242251845,0.12216307415917485,0.2832368132974081,0.4464486080462069,0.5207671907891825,0.18244008619854613
3,0.3627813331799799,0.3708847971193247,0.15770213620636228,0.1216542404998588,0.2797730710305401,0.43521829449954696,0.5277411212569774,0.17778874826658195
4,0.3556415638186269,0.3703648890621553,0.16660891847649067,0.12118137417980653,0.2767216348535999,0.4241802347701713,0.5344081572047549,0.17399966406959053
5,0.348481393630497,0.3700247513819312,0.17574754914870866,0.12073657191474862,0.2740544034242267,0.4135156434065464,0.5406066383024546,0.17116148135592074
6,0.3413883174558395,0.3698756530355243,0.18502925374263574,0.1203136213019568,0.2717277813485553,0.4033814813854327,0.5461715505918358,0.16934268975298594
7,0.33446323944499523,0.3699220522041977,0.19436248193664565,0.11990906804198767,0.26968596024254066,0.393908693969274,0.5509419814628556,0.1685895379232089
8,0.3278198580915573,0.37016189224470064,0.20365443588642534,0.11952301147665535,0.2678645737304298,0.3852015118352025,0.5547684956419235,0.16892463161590818
9,0.3215834552228015,0.370587097139806,0.21281271576160887,0.11915955685598062,0.26619456678857994,0.3773376705872323,0.5575198892818951,0.17034626213607332
10,0.31588910320263114,0.3711843129481955,0.2217470703001614,0.11882688665762865,0.26460610646333665,0.3703693700604544,0.5590888604598483,0.17282848742961845
11,0.3108793230653107,0.3719359251274117,0.23037123839816945,0.11853695895159692,0.26303236626851284,0.36432481377197495,0.5593962799052041,0.17632195773662174
12,0.3067012359157154,0.37282134431937386,0.23860485050469865,0.11830488215034783,0.2614130268378744,0.3592102136258084,0.5583939028494151,0.18075544638174693
13,0.3035032536277669,0.37381850356543533,0.2463753385611768,0.11814803929736414,0.25969734216725393,0.3550121695990047,0.5560654882161598,0.18603801527042224
14,0.30143134854970083,0.37490546230348,0.25361979103536403,0.118085042103431,0.25784663796285634,0.3517003200194419,0.5524263888691087,0.1920617175634637
15,0.3006249330387309,0.3760619834733056,0.2602866807448761,0.11813459404844695,0.25583615270845256,0.3492301327804169,0.5475217628107547,0.19870472241210976
16,0.301212394044236,0.3772709447354992,0.2663373784410877,0.11831433953057705,0.2536561975654745,0.3475457078959304,0.5414236213160307,0.2058347386523768
17,0.3033063776042977,0.3785194516879415,0.2717473458623634,0.11863977378608526,0.25131267392194706,0.3465824922835631,0.5342269660402345,0.21331260684950384
